Ref. Charge Code,Category,NCIC Category,Long Description,
321.220-001Y202055,Health Violation,55,VIOLATION OF FIRE PROTECTION OR PREVENTION ORDINANCE,
322.140-001Y202055,Health Violation,55,VIOLATE ANY PROVISION OF SECTION 322.140 REGARDING RABIES/ZOONOTIC DISEASE/DEPARTMENT OF HEALTH AND SENIOR SERVICES ORDER,
323.110-001Y202055,Health Violation,55,VIOLATION OF SECTIONS 323.010 - 323.210 REGULATIONS REGARDING LIQUID GAS,
330.210-002Y202055,Health Violation,55,PRACTICE PODIATRIC MEDICINE WITHOUT A LICENSE,
331.080-001Y202073,Assorted Other,73,PRACTICE/ATTEMPT PRACTICE CHIROPRACTIC WITHOUT A LICENSE,
324.1142-003Y202073,Assorted Other,73,"VIOLATION OF LICENSING RULES/REGULATIONS FOR PRIVATE INVESTIGATORS AND AGENCIES (SECTIONS 324.1100 TO 324.1148, EXCEPT 324.1142) 1ST OFFENSE",
324.205-001Y202055,Health Violation,55,PRACTICE AS A DIETICIAN WITHOUT A VALID LICENSE,
324.275-001Y202055,Health Violation,55,VIOLATION OF SECTIONS 324.240 - 324.275 (MASSAGE LAW),
324.439-001Y202055,Health Violation,55,VIOLATION OF INTERIOR DESIGNER LAW,
324.520-003Y202055,Health Violation,55,FRAUDULENTLY MISREPRESENT ONE'S SELF AS A PARENT (REGARDING TATTOO) - SUBSEQUENT OFFENSE WITHIN ONE YEAR,
324.520-005Y202055,Health Violation,55,KNOWINGLY TATTOO/BRAND/BODY PIERCE A MINOR WITHOUT WRITTEN CONSENT OF MINOR'S PARENT - SUBSEQUENT OFFENSE WITHIN 1 YEAR,
332.111-001Y202055,Health Violation,55,PRACTICE DENTISTRY WITHOUT VALID LICENSE,
332.111-002Y202055,Health Violation,55,PRACTICE AS A DENTAL HYGIENIST WITHOUT A VALID LICENSE,
332.366-001Y202055,Health Violation,55,PRACTICE AS DENTIST/DENTAL HYGIENIST WITHOUT VALID LICENSE -PERFORM TEETH WHITENING SERVICES,
324.520-007Y202055,Health Violation,55,TATTOO/BRAND/BODY PIERCE PERSON UNDER THE INFLUENCE OF INTOXICATING LIQUOR OR CONTROLLED SUBSTANCE - SUBSEQUENT OFFENSE WITHIN 1 YEAR,
324.742-001Y202073,Assorted Other,73,VIOLATE ANY PROVISION OF SECTIONS 324.700 - 324.745 - REGULATIONS OF MISSOURI DEPARTMENT OF TRANSPORTATION (REGARDING HOUSE MOVERS),
326.292-001Y202073,Assorted Other,73,VIOLATE ANY PROVISION OF SUBSECTIONS 1-5 OF SECTIONS 326.292 REGARDING CERTIFIED PUBLIC ACCOUNTANTS,
327.076-001Y202073,Assorted Other,73,PRACTICE ARCHITECTURE/ENGINEERING/LAND SURVEYING/LANDSCAPE ARCHITECTURE WITHOUT VALID LICENSE OR CERTIFICATE,
328.020-001N202055,Health Violation,55,PRACTICING AS A BARBER WITHOUT A LICENSE,
333.320-001Y202055,Health Violation,55,VIOLATION OF PRENEED FUNERAL CONTRACT SELLER REQUIREMENTS,
334.800-001Y202055,Health Violation,55,"VIOLATINGS OF THE ""RESPIRATORY CARE PRACTICE ACT""",
336.020-001Y202055,Health Violation,55,"UNLAWFUL TO PRACTICE, ATTEMPT TO PRACTICE OPTOMETRY WITHOUT A CERTIFICATE OF REGISTRATION",
337.015-001Y202055,Health Violation,55,PRACTICE PSYCHOLOGY OR REPRESENT ONESELF AS PSYCHOLOGIST WITHOUT A LICENSE,
338.190-001Y202055,Health Violation,55,VIOLATION OF PHARMACY LAW BY LICENSED PERSON,
338.315-002Y202055,Health Violation,55,RECEIPT OF DRUGS FROM UNLICENSED DISTRIBUTOR OR PHARMACY - 1ST OFFENSE,
340.294-001Y202055,Health Violation,55,UNLAWFUL PRACTICE OF VETERINARY MEDICINE,
347.091-001Y202073,Assorted Other,73,FAILURE OF AN AUTHORIZED PERSON TO SUBMIT A LIST OF LIMITED LIABILITY COMPANIES AT REQUEST OF SECRETARY OF STATE,
347.183-001N202073,Assorted Other,73,DISCLOSURE OF PRIVATE ACCOUNT INFORMATION OF LIMITED LIABILITY COMPANIES BY THE SECRETARY OF STATE,
351.713-001Y202026,Fraud,26,SIGNING FALSE DOCUMENT RELATING TO BUSINESS INSTITUTION,
358.440-001Y202026,Fraud,26,KNOWINGLY SIGNING FALSE DOCUMENT RELATED TO A LIMITED LIABILITY PARTNERSHIP,
359.051-001Y202073,Assorted Other,73,FAILURE TO DELIVER PARTNERSHIP LIST TO SECRETARY OF STATE,
361.705-001Y202073,Assorted Other,73,VIOLATE PROVISION OF SECTIONS 361.700 - 361.727 REGARDING LICENSE TO SELL CHECKS OR ATTEMPT TO SELL/ISSUE CHECKS WITHOUT A LICENSE,
367.043-001Y202073,Assorted Other,73,FAIL TO MAINTAIN ADEQUATE BOOKS AND RECORDS RELATING TO PAWN TRANSACTIONS,
367.043-002Y202073,Assorted Other,73,OPERATING A PAWN SHOP WITHOUT OBTAINING A PROPER LICENSE,
367.045-002Y202026,Fraud,26,FRAUDULENTLY PLEDGING OR SELLING PROPERTY (VALUE MORE THAN $50 AND LESS THAN $150),
367.050-001Y202073,Assorted Other,73,WILLFULLY MAKING FALSE ENTRY INTO PAWN SHOP RECORDS,
367.050-002Y202073,Assorted Other,73,VIOLATIONS OF PROVISIONS FOR PAWNBROKER LOANS,
367.305-001Y202073,Assorted Other,73,RECEIPT OF ADVANCE FEE BY LOAN BROKER,
367.506-001Y202026,Fraud,26,VIOLATION OF TITLE LENDER REGISTRATION REQUIREMENTS -2ND OR SUBSEQUENT OFFENSE,
367.506-002N202026,Fraud,26,VIOLATION OF TITLE LENDER REGISTRATION REQUIREMENTS - 1ST OFFENSE,
37.725-001Y202073,Assorted Other,73,KNOWINGLY/WILLFULLY DISCLOSE CONFIDENTIAL INFORMATION FROM EXAMINATION FROM CHILD ADVOCACY TO UNAUTHORIZED PERSON(S),
37.730-001Y202073,Assorted Other,73,KNOWINGLY/WILLFULLY VIOLATE PROVISIONS OF SECTION 37.730,
374.702-002Y202073,Assorted Other,73,UNLAWFULLY ENGAGE IN THE BAIL BONDS BUSINESS - 1ST OFFENSE,
374.757-002Y202073,Assorted Other,73,LICENSED AGENT FAILED TO INFORM LAW ENFORCEMENT OF APPREHENSION - 1ST OFFENSE,
374.757-004Y202073,Assorted Other,73,SURETY RECOVERY AGENT FAILED TO REPORT TO LOCAL LAW ENFORCEMENT AGENCY PRIOR TO ENTERING RESIDENCE - 1ST OFFENSE,
375.014-001Y202073,Assorted Other,73,ACTING AS AN INSURANCE AGENT WITHOUT A LICENSE,
375.1156-001Y202026,Fraud,26,"VIOLATION OF AN ORDER ISSUED UNDER THE ""INSURERS SUPERVISION, REHABILITATION AND LIQUIDATION ACT""",
375.116-001Y202073,Assorted Other,73,RECEIVING COMPENSATION WITHOUT WRITTEN CONSENT OF INSURED,
375.146-001Y202073,Assorted Other,73,VIOLATE PROVISION REGARDING LICENSING OF INSURANCE AGENTS/AGENCIES,
378.638-001Y202026,Fraud,26,FALSE STATEMENT IN APPLICATION TO FRATERNAL BENEFIT SOCIETY,
389.653-003Y202057,Privacy or Trespass,57,TRESPASS TO RAILROAD PROPERTY,
390.171-001Y202054,Motor Vehicle,54,MISCELLANEOUS MOTOR CARRIER VIOLATION,
407.080-001Y202026,Fraud,26,INTERFERENCE WITH OR AVOIDANCE OF CIVIL INVESTIGATION INTO UNLAWFUL MERCHANDISING PRACTICES,
407.1076-002Y202026,Fraud,26,"TELEMARKETER/SELLER KNOWINGLY, WILLFULLY ENGAGES IN AN UNLAWFUL TELEMARKETING ACT OR PRACTICE",
407.1150-001Y202073,Assorted Other,73,SOLICIT OR ACCEPT PAYMENT/CONSIDERATION TO REMOVE OR CORRECT CRIMINAL RECORD INFORMATION,
407.300-001Y202026,Fraud,26,FAILURE TO KEEP A REGISTER OF SCRAP METAL PURCHASE OR TRADE,
407.301-001Y202026,Fraud,26,SCRAP METAL DEALER KNOWINGLY PURCHASE/POSSESS A METAL BEER KEG FROM OTHER THAN BREWER/AUTHORIZED REPRESENTATIVE,
407.433-001Y202026,Fraud,26,KNOWINGLY DEFRAUD/INTENT TO DEFRAUD CREDIT CARD HOLDER - SALES RECEIPT OR BY ELECTRONIC MEANS WITHOUT CONSENT - 2ND OR SUBSEQUENT OFFENSE,
407.516-001Y202026,Fraud,26,ODOMETER FRAUD 1ST DEGREE,
407.526-001N202026,Fraud,26,ODOMETER FRAUD 3RD DEGREE,
407.929-001Y202055,Health Violation,55,REPRODUCE/ALTER/MODIFY/MISREPRESENT WITHOUT AUTHORIZING ANY OPERATOR LICENSE OF IDENTIFICATION ISSUED BY DEPARTMENT OF REVENUE (TO PURCHASE TOBACCO PRODUCTS),
407.940-001Y202073,Assorted Other,73,UNLAWFUL ACTIVITY BY FORECLOSURE CONSULTANT,
407.985-001N202055,Health Violation,55,FAIL TO PROVIDE SECURITY TO CONVENIENCE BUSINESS,
407.987-001N202055,Health Violation,55,FAILURE TO PROVIDE EMPLOYEE OF CONVENIENCE BUSINESS WITH PROPER SECURITY TRAINING,
408.240-001Y202073,Assorted Other,73,VIOLATION OF ANY PROVISION PERTAINING TO INTEREST ON SMALL LOANS AND SECOND MORTGAGES,
408.500-001Y202073,Assorted Other,73,LENDER CHARGED FEE IN EXCESS OF ESTABLISHED RATE,
409.1003-001Y202026,Fraud,26,BUSINESS OPPORTUNITY SELLER VIOLATING ANY PROVISIONS OF SECTION 409.1003,
413.229-002Y202026,Fraud,26,VIOLATION INVOLVING WEIGHTS AND MEASURES-1ST OR 2ND OFFENSE,
414.152-001Y202055,Health Violation,55,VIOLATION OF SECTIONS 414.012 - 414.152 - SAFETY REGULATIONS REGARDING FUEL,
421.031-001Y202055,Health Violation,55,"REMOVE, DEFACE OR ALTER LABEL OR STATEMENT AFFIXED TO BEDDING",
429.014-002Y202026,Fraud,26,LIEN FRAUD (VALUE $500 OR LESS),
43.170-001Y202048,Judicial Offense,48,PERSON WILLFULLY RESISTS/OPPOSES A MEMBER OF THE PATROL IN THE PROPER DISCHARGE OF THEIR DUTIES,
43.170-002Y202048,Judicial Offense,48,FAILED TO STOP OR OBEY REASONABLE SIGNAL DIRECTION OF A HIGHWAY PATROLMAN,
43.532-001Y202073,Assorted Other,73,OBTAIN CRIMINAL HISTORY RECORD INFORMATION UNDER FALSE PRETENSE,
43.535-001Y202073,Assorted Other,73,DISCLOSURE OF CONFIDENTIAL CRIMINAL RECORDS,
436.159-001N202026,Fraud,26,VIOLATIONS OF ROYALTY REGULATIONS,
443.819-002Y202073,Assorted Other,73,"OPERATE UNDER AN IMPROPER BUSINESS NAME AS STATED BY ""RESIDENTIAL MORTGAGE BROKERS LICENSE ACT""",
443.879-001Y202026,Fraud,26,"FAILURE TO FILE OR DELIBERATELY DECEIVING IN A REPORT REQUIRED BY THE ""RESIDENTIAL MORTGAGE BROKERS LICENSE ACT""",
444.770-001Y202055,Health Violation,55,ENGAGING IN SURFACE MINING WITHOUT A PERMIT,
447.575-002Y202028,Stolen Property,28,REFUSAL TO PAY OR DELIVER ABANDONED PROPERTY,
453.120-001N202073,Assorted Other,73,UNLAWFULLY PERMITTING INSPECTION OF ADOPTION RECORDS,
454.440-001N202026,Fraud,26,VIOLATION INVOLVING CHILD SUPPORT/PUBLIC ASSISTANCE INFORMATION,
454.522-001Y202061,Taxation,61,COLLUSIVE ATTEMPT BETWEEN CHILD SUPPORT OBLIGOR AND OBLIGEE TO EVADE OR DEFEAT TAX,
455.538-002Y202050,Judicial Offense,50,VIOLATION OF CHILD PROTECTION ORDER - 1ST OFFENSE,
459.045-001Y202055,Health Violation,55,CONCEALING OR DESTROYING LIFE SUPPORT DECLARATION OF ANOTHER,
513.607-001Y202050,Judicial Offense,50,INTENTIONALLY/KNOWINGLY FAIL TO COMPLY WITH PROPERTY SEIZURE REPORTING REQUIREMENTS,
542.410-001Y202057,Privacy or Trespass,57,VIOLATION OF PROVISIONS FOR PROTECTING/HANDLING WIRETAP RECORDING/APPLICATIONS,
544.170-001Y202050,Judicial Offense,50,VIOLATE PROVISIONS OF SECTION 544.170 REGARDING RELEASE OF PRISONER,
544.665-002Y202050,Judicial Offense,50,FAILURE TO APPEAR - MISDEMEANOR,
565.184-001Y202038,Family Crime,38,ELDER ABUSE 3RD DEGREE,
565.218-002Y202055,Health Violation,55,KNOWINGLY FAIL TO REPORT THE SUSPECTED ABUSE OR NEGLECT OF A VULNERABLE PERSON - 1ST OFFENSE,
566.093-001Y202011,Sexual Assault,11,SEXUAL MISCONDUCT - 1ST DEGREE - 2ND OR SUBSEQUENT OFFENSE,
566.111-002Y202036,Sex Abuse,36,SEX WITH AN ANIMAL,
566.148-001Y202036,Sex Abuse,36,SEX OFFENDER PHYSICALLY PRESENT/LOITER WITHIN 500 FEET OF A CHILD CARE FACILITY WHEN CHILD YOUNGER THAN 18 YEARS OF AGE IS PRESENT,
568.010-001Y202038,Family Crime,38,BIGAMY,
568.040-002Y202038,Family Crime,38,NON-SUPPORT,
568.050-001Y202038,Family Crime,38,ENDANGERING THE WELFARE OF A CHILD 2ND DEGREE,
569.090-002Y202029,Property Damage,29,TAMPERING WITH UTILITY METER 2ND DEGREE,
569.090-007Y202029,Property Damage,29,TAMPERING WITH MOTOR VEHICLE 2ND DEGREE,
569.090-008Y202029,Property Damage,29,TAMPERING WITH AIRPLANE/MOTOR BOAT 2ND DEGREE,
569.095-002Y202029,Property Damage,29,TAMPERING WITH COMPUTER DATA,
569.097-004Y202029,Property Damage,29,TAMPERING WITH COMPUTER EQUIPMENT,
569.155-001Y202057,Privacy or Trespass,57,TRESPASS OF A SCHOOL BUS,
570.103-003Y202025,Forgery,25,COUNTERFEITING,
570.110-001Y202025,Forgery,25,ISSUING A FALSE INSTRUMENT OR CERTIFICATE,
570.150-001Y202051,Bribery,51,COMMERCIAL BRIBERY,
570.180-002Y202026,Fraud,26,DEFRAUDING SECURED CREDITORS,
571.013-001Y202057,Privacy or Trespass,57,PUBLISH IDENTIFYING INFORMATION ABOUT INDIVIDUALS WITH FIREARMS OR LICENSE/CERTIFICATE/PERMIT/ENDORSEMENT,
571.014-001Y202052,Weapons,52,UNLAWFUL REFUSAL TO TRANSFER A WEAPON,
571.020-002Y202052,Weapons,52,"UNLAWFUL POSSESSION, TRANSPORT, MANUFACTURE, REPAIR OR SALE OF ILLEGAL WEAPON",
571.030-016Y202052,Weapons,52,UNLAWFUL USE OF WEAPON - SUBSECTION 5 - WHILE INTOXICATED - UNLOADED WEAPON,
571.045-001Y202052,Weapons,52,DEFACING FIREARM,
571.060-002Y202052,Weapons,52,UNLAWFUL TRANSFER OF WEAPON,
571.101-001Y202052,Weapons,52,DISCLOSE PROTECTED INFORMATION OF APPLICANT'S STATUS OF CONCEALED CARRY PERMIT,
572.020-003N202039,Gambling,39,GAMBLING,
572.040-001Y202039,Gambling,39,PROMOTING GAMBLING 2ND DEGREE,
572.060-001Y202039,Gambling,39,POSSESSION OF GAMBLING RECORDS 2ND DEGREE,
572.070-001Y202039,Gambling,39,POSSESSION OF GAMBLING DEVICE,
573.030-002Y202037,Obscenity,37,PROMOTING PORNOGRAPHY FOR MINORS OR OBSCENITY 2ND DEGREE,
573.040-002Y202037,Obscenity,37,FURNISHING PORNOGRAPHIC MATERIAL OR ATTEMPT TO FURNISH TO A MINOR,
573.060-002Y202037,Obscenity,37,PUBLIC DISPLAY OF EXPLICIT SEXUAL MATERIAL,
573.100-002Y202037,Obscenity,37,MAKING OBSCENE OR INDECENT COMMERCIAL MESSAGES,
574.020-001N202053,Peace Disturbance,53,PRIVATE PEACE DISTURBANCE,
574.035-002Y202053,Peace Disturbance,53,DISRUPT A HOUSE OF WORSHIP - 2ND OFFENSE,
574.050-001Y202053,Peace Disturbance,53,RIOTING,
574.060-001N202053,Peace Disturbance,53,REFUSAL TO DISPERSE,
574.085-003Y202029,Property Damage,29,INSTITUTIONAL VANDALISM - PROPERTY DAMAGE,
574.160-001Y202053,Peace Disturbance,53,UNLAWFUL FUNERAL PROTEST - SUBSEQUENT OFFENSE,
575.020-002Y202050,Judicial Offense,50,CONCEALING A MISDEMEANOR,
575.050-001Y202050,Judicial Offense,50,MAKE FALSE AFFIDAVIT TO MISLEAD A PUBLIC SERVANT,
575.050-002N202050,Judicial Offense,50,MAKING A FALSE AFFIDAVIT,
575.110-001Y202050,Judicial Offense,50,TAMPERING WITH A PUBLIC RECORD,
575.145-001Y202048,Judicial Offense,48,WILLFULLY FAILING/REFUSING TO OBEY OR RESISTING/OPPOSING LEO OR FIREFIGHTER IN THE PROPER DISCHARGE OF THEIR DUTIES,
575.150-003Y202048,Judicial Offense,48,"RESISTING/INTERFERING WITH ARREST, DETENTION OR STOP",
575.170-001N202050,Judicial Offense,50,REFUSING TO MAKE EMPLOYEE AVAILABLE FOR SERVICE OF PROCESS,
575.180-002Y202050,Judicial Offense,50,FAILURE TO EXECUTE WARRANT,
575.190-001N202048,Judicial Offense,48,REFUSAL TO IDENTIFY AS A WITNESS,
575.200-003Y202049,Escape,49,ESCAPE OR ATTEMPTED ESCAPE FROM CUSTODY,
575.220-002Y202049,Escape,49,FAILURE TO RETURN TO CONFINEMENT IN COUNTY/PRIVATE JAIL ON A FELONY CONVICTION,
575.220-003N202049,Escape,49,FAILURE RETURN TO CONFINEMENT,
575.230-003Y202049,Escape,49,AIDING ESCAPE OF A PRISONER,
575.250-001Y202050,Judicial Offense,50,DISTURB A JUDICIAL PROCEEDING,
575.270-004Y202050,Judicial Offense,50,TAMPERING WITH A VICTIM OR ATTEMPT TAMPERING WITH VICTIM,
575.280-003Y202050,Judicial Offense,50,ACCEDING TO CORRUPTION,
575.300-001Y202050,Judicial Offense,50,MISCONDUCT BY JUROR,
575.320-001Y202050,Judicial Offense,50,MISCONDUCT IN ADMINISTRATION OF JUSTICE,
575.353-001N202073,Assorted Other,73,ASSAULT ON A POLICE ANIMAL,
576.040-001Y202050,Judicial Offense,50,OFFICIAL MISCONDUCT,
576.050-001Y202073,Assorted Other,73,MISUSE OF OFFICIAL INFORMATION BY A PUBLIC SERVANT,
577.080-001N202054,Motor Vehicle,54,ABANDON VEHICLE OR TRAILER,
577.612-001Y202054,Motor Vehicle,54,TAMPER OR CIRCUMVENT OPERATION OF IGNITION INTERLOCK DEVICE,
578.009-002N202055,Health Violation,55,ANIMAL NEGLECT OR ABANDONMENT - 1ST OFFENSE,
578.011-001N202055,Health Violation,55,ANIMAL TRESPASS 2ND OR SUBSEQUENT,
578.013-001Y202055,Health Violation,55,FAILURE OF FARM ANIMAL PROFESSIONAL TO SUBMIT VIDEOTAPE/RECORDING OF ANIMAL ABUSE OR NEGLECT,
578.023-001N202055,Health Violation,55,KEEPING DANGEROUS WILD ANIMAL WITHOUT REGISTRATION WITH LAW ENFORCEMENT AGENCY,
578.024-003Y202055,Health Violation,55,OWNER/POSSESSOR'S DOG BITES PERSON/DOMESTIC ANIMAL (2ND OR SUBSEQUENT BITE) - RESULTS IN SERIOUS INJURY,
578.028-001Y202073,Assorted Other,73,REMOVE ELECTRONIC/TRANSMITTING DOG COLLAR WITHOUT OWNER'S CONSENT,
578.120-001N202073,Assorted Other,73,SELLING MOTOR VEHICLES ON SUNDAY,
578.151-001N202062,Conservation,62,"INTERFERING WITH HUNTING, FISHING OR TRAPPING 1ST DEGREE",
421.031-002Y202055,Health Violation,55,KNOWINGLY ATTACH FALSE LABEL TO BEDDING OR SELL BEDDING WITH FALSE LABELING,
578.153-001N202062,Conservation,62,FAIL TO OBEY ORDER OF PEACE OFFICER TO DESIST A PERSON FROM INTERFERING WITH LAWFUL HUNTING/FISHING OR TRAPPING,
578.365-002Y202055,Health Violation,55,HAZING,
58.452-001Y202055,Health Violation,55,FAILURE BY A CORONER OR MEDICAL EXAMINER TO PROPERLY REFER A SUSPICIOUS DEATH OF A CHILD UNDER 18 YEARS,
590.750-001Y202055,Health Violation,55,PRACTICE AS CORPORATE SECURITY ADVISOR WITHOUT A DPS LICENSE,
595.045-001Y202026,Fraud,26,FRAUDULENT CLAIM FOR COMPENSATION AS CRIME VICTIM,
600.086-001Y202026,Fraud,26,"""FALSIFICATION OF AFFIDAVIT TO OBTAIN PUBLIC DEFENDER SERVICES""",
610.020-001N202073,Assorted Other,73,"""UNLAWFULLY RECORD ANY PUBLIC MEETING CLOSED PER SECTION 610.021""",
610.115-001Y202073,Assorted Other,73,"""KNOWINGLY VIOLATE ANY PROVISION OF
SECTION 610.100-610.105-610.106 OR 610.120 REGARDING MISSOURI SUNSHINE LAW""",
630.160-001Y202055,Health Violation,55,"""FURNISHING UNFIT FOOD TO PATIENTS/RESIDENTS/CLIENTS IN MENTAL HEALTH FACILITY OR PROGRAM""",
630.165-004Y202055,Health Violation,55,FAILURE TO REPORT SUSPECTED ABUSE/NEGLECT OF A MENTAL HEALTH PATIENT - 1ST OFFENSE,
630.170-001Y202073,Assorted Other,73,APPLICANT KNOWINGLY FAILED TO DISCLOSE CRIMINAL HISTORY INFORMATION (REGARDING: DIRECT CARE POSITION),
630.170-002Y202073,Assorted Other,73,PROVIDER KNOWINGLY HIRE ANY DISQUALIFIED PERSON,
630.740-001N202055,Health Violation,55,OPERATE RESIDENTIAL FACILITY OR DAY PROGRAM FOR MENTALLY ILL WITHOUT LICENSE,
64.295-001Y202055,Health Violation,55,"VIOLATION OR ZONING REGULATIONS, RESTRICTIONS OR ORDERS (NON-CHARTER 1ST CLASS COUNTY)",
64.690-001Y202055,Health Violation,55,"VIOLATION OF ZONING REGULATIONS, RESTRICTIONS OR ORDERS (2ND AND 3RD CLASS COUNTIES)",
64.895-001Y202055,Health Violation,55,"VIOLATION OF ZONING REGULATIONS, RESTRICTIONS OR ORDERS (UNINCORPORATED AREA)",
643.225-002Y202055,Health Violation,55,ENGAGING IN ASBESTOS ABATEMENT PROJECT/INSPECTION/MANAGEMENT PLAN/ASBESTOS AIR SAMPLING WITHOUT CERTIFICATE - 1ST OFFENSE,
643.232-002Y202055,Health Violation,55,FAILURE BY ASBESTOS ABATEMENT CONTRACTOR TO COMPLY WITH REGULATORY AGENCY - 1ST OFFENSE,
643.237-002Y202055,Health Violation,55,UNDERTAKING ASBESTOS ABATEMENT PROJECT WITHOUT MEETING REQUIREMENTS - 1ST OFFENSE,
643.240-002Y202055,Health Violation,55,COMMENCE ASBESTOS ABATEMENT PROJECT WITHOUT MINIMIZING SPREAD OF FRIABLE ASBESTOS - 1ST OFFENSE,
643.250-002Y202055,Health Violation,55,REFUSAL TO PERMIT INSPECTION BY DEPARTMENT OF NATURAL RESOURCES FOR PURPOSES UNDER SECTIONS 643.225 - 643.250 - 1ST OFFENSE,
643.400-001Y202055,Health Violation,55,SALE/DISTRIBUTION OF PRODUCTS MADE FROM/GOODS CONTAINED IN CERTAIN POLYSTYRENE FOAM,
650.055-001Y202050,Judicial Offense,50,UNAUTHORIZED USE OR DISSEMINATION OF IDENTIFIABLE DNA INFORMATION,
660.350-001Y202055,Health Violation,55,DISCLOSE IDENTIFYING INFORMATION REGARDING APPLICANT OR RECIPIENT OF PUBLIC ASSISTANCE,
67.1222-001Y202055,Health Violation,55,VIOLATION OF AIRPORT ZONING REGULATIONS,
67.1663-001Y202026,Fraud,26,VIOLATION OF PROVISIONS IN SECTIONS 67.1600-67.1663 DEALING WITH HOME EQUITY PROGRAMS,
67.1819-001Y202073,Assorted Other,73,REGIONAL TAXI CAB COMMISSION DISCLOSED CONFIDENTIAL CRIMINAL RECORD CHECK INFORMATION,
67.2546-001Y202073,Assorted Other,73,OBSCURED VIEWING ROOM OF SEXUALLY ORIENTED BUSINESS OR MORE THAN ONE INDIVIDUAL IN ROOM,
67.2552-001Y202073,Assorted Other,73,APPEAR NUDE OR DEPICT/SIMULATE/PERFORM PROHIBITED SEXUAL ACTIVITIES,
67.2552-002Y202073,Assorted Other,73,APPEAR SEMINUDE LESS THAN 10 FEET FROM CUSTOMER AND ON A PROHIBITED STAGE,
67.2552-003Y202073,Assorted Other,73,PROHIBITED TOUCHING OF CUSTOMER OR THEIR CLOTHING,
67.2552-004Y202073,Assorted Other,73,PERSON UNDER 21 YOA ON PREMISES OF SEXUALLY ORIENTED BUSINESS,
701.029-002N202055,Health Violation,55,CONTAMINATION OF SURFACE WATER/GROUNDWATER OR PRESENT NUISANCE FROM DISPOSAL OF WASTES WITH ON-SITE DISPOSAL SYSTEM - PERSON VIOLATES AFTER NOTIFICATION,
701.031-001N202055,Health Violation,55,PERSISTENT VIOLATION OF MISSOURI SEWAGE DISPOSAL LAW AFTER NOTIFICATION,
701.046-001N202055,Health Violation,55,CONSTRUCT/MAKE MAJOR MODIFICATION OR REPAIR TO ON-SITE SEWAGE DISPOSAL SYSTEM WITHOUT NOTIFYING CITY/COUNTY OR DEPARTMENT AND COMPLETE APPLICATION OR FEE,
701.048-001N202055,Health Violation,55,CONSTRUCT/MODIFY/REPAIR ON-SITE SEWAGE DISPOSAL SYSTEM NOT IN COMPLIANCE WITH STATE STANDARDS,
701.050-001N202055,Health Violation,55,FAIL TO PROVIDE NOTICE AND OPPORTUNITY FOR INSPECTION BY THE CITY/COUNTY/DEPARTMENT OF AN ON-SITE SEWAGE DISPOSAL SYSTEM,
701.052-001Y202055,Health Violation,55,FAILURE TO PROVIDE TO THE DEPARTMENT A PERFORMANCE BOND OR LETTER OF CREDIT AS PROVIDED UNDER SECTION 701.052,
701.053-001Y202055,Health Violation,55,REPRESENTING ONESELF AS A REGISTERED ON-SITE SEWAGE DISPOSAL SYSTEM CONTRACTOR,
701.055-001Y202055,Health Violation,55,FAIL TO COMPLY WITH REGISTRATION/CONSTRUCTION GUIDELINES CONCERNING ON-SITE SEWAGE DISPOSAL SYSTEMS,
701.320-002Y202055,Health Violation,55,"VIOLATE REGULATIONS REGARDING THE PREVENTION OF LEAD POISONING - SUBSECTIONS 5, 6 & 9",
701.380-001N202055,Health Violation,55,ABUSE OF ELEVATOR SAFETY,
ORDIN.0-405N202073,Assorted Other,73,NUISANCE - ABANDONED VEHICLE,
ORDIN.0-406N202073,Assorted Other,73,NUISANCE - VIOLATIONS BUREAU,
578.050-001Y201755,Health Violation,55,BULL BAITING AND COCK FIGHTING,
407.1079-001Y202026,Fraud,26,"SELLER/TELEMARKETER WILLFULLY, KNOWINGLY FAILED TO KEEP VERIFIABLE AUTHORIZATIONS AND REQUIRED RECORDS",
319.306-001Y201755,Health Violation,55,LOAD/FIRE EXPLOSIVES OR DIRECT/ORDER/CAUSE INDIVIDUAL TO LOAD/FIRE EXPLOSIVES WITHOUT VALID BLASTER'S LICENSE OR WITHOUT SUPERVISION OF INDIVIDUAL WITH BLASTER'S LICENSE - 2ND OR SUBSEQUENT OFFENSE,
210.165-002Y202055,Health Violation,55,FILING A FALSE REPORT OF CHILD ABUSE OR NEGLECT -1ST OFFENSE,
210.245-001Y202055,Health Violation,55,MAKING MATERIALLY FALSE STATEMENT TO OBTAIN/RENEW A LICENSE TO OPERATE A CHILD CARE FACILITY - SUBSEQUENT OFFENSE,
455.085-002Y202050,Judicial Offense,50,VIOLATION OF ORDER OF PROTECTION FOR ADULT - 1ST OFFENSE,
194.509-001N202054,Motor Vehicle,54,FAILED TO YIELD RIGHT-OF-WAY TO OR INTERFER WITH ORGANIZED FUNERAL PROCESSION,
43.405-001Y202048,Judicial Offense,48,MAKE FALSE REPORT OR FALSE STATEMENT OF MISSING PERSON(S),
221.111-004Y202055,Health Violation,55,DELIVERY OR POSSESSION OF ITEM AT A COUNTY/PRIVATE JAIL/CORR CNTR WHICH PRISONER IS PROHIBITED FROM RECEIVING,
566.095-001Y202011,Sexual Assault,11,SEXUAL MISCONDUCT - 2ND DEGREE,
566.101-003Y202011,Sexual Assault,11,SEXUAL ABUSE - 2ND DEGREE,
